2|Maanantai|00|00|00|00
2|Tiista|00|00|00|00
2|Keskiviikko|00|00|00|00
2|Torstai|00|00|00|00
2|Perjantai|00|00|00|00
2|Lauantai|18|00|20|30
2|Sunnunta|12|00|16|30
3|Maanantai|12|00|16|30
3|Tiista|00|00|00|00
3|Keskiviikko|00|00|00|00
3|Torstai|16|45|23|30
3|Perjantai|00|00|00|00
3|Lauantai|00|00|00|00
3|Sunnunta|00|00|00|00
5|Maanantai|00|00|00|00
5|Tiista|00|00|00|00
5|Keskiviikko|00|00|00|00
5|Torstai|00|00|00|00
5|Perjantai|00|00|00|00
5|Lauantai|00|00|00|00
5|Sunnunta|12|00|16|30
8|Maanantai|00|00|00|00
8|Tiista|00|00|00|00
8|Keskiviikko|00|00|00|00
8|Torstai|00|00|00|00
8|Perjantai|00|00|00|00
8|Lauantai|18|00|20|30
8|Sunnunta|00|00|00|00
11|Maanantai|13|14|16|20
11|Tiista|16|00|20|30
11|Keskiviikko|19|00|21|00
11|Torstai|16|45|23|30
11|Perjantai|00|00|00|00
11|Lauantai|18|00|20|30
11|Sunnunta|12|00|16|30
12|Maanantai|14|00|16|30
12|Tiistai|16|00|16|30
12|Keskiviikko|00|00|00|00
12|Torstai|16|45|23|30
12|Perjantai|00|00|00|00
12|Lauantai|18|00|20|30
12|Sunnuntai|12|00|16|30
13|Maanantai|12|00|14|00
13|Tiistai|00|00|00|00
13|Keskiviikko|00|00|00|00
13|Torstai|00|00|00|00
13|Perjantai|00|00|00|00
13|Lauantai|00|00|00|00
13|Sunnuntai|00|00|00|00
1|Maanantai|16|00|23|45
1|Tiistai|16|00|16|30
1|Keskiviikko|00|00|00|00
1|Torstai|16|45|23|30
1|Perjantai|00|00|00|00
1|Lauantai|18|00|20|30
1|Sunnuntai|12|00|16|30
