1|Maanantai|12|00|15|00
1|Tiistai|00|00|00|00
1|Keskiviikko|00|00|00|00
1|Torstai|16|00|23|00
1|Perjantai|00|00|00|00
1|Lauantai|00|00|00|00
1|Sunnuntai|00|00|00|00
3|Maanantai|00|00|00|00
3|Tiistai|00|00|00|00
3|Keskiviikko|00|00|00|00
3|Torstai|00|00|00|00
3|Perjantai|00|00|00|00
3|Lauantai|00|00|00|00
3|Sunnuntai|00|00|00|00
4|Maanantai|00|00|00|00
4|Tiistai|00|00|00|00
4|Keskiviikko|00|00|00|00
4|Torstai|00|00|00|00
4|Perjantai|00|00|00|00
4|Lauantai|00|00|00|00
4|Sunnuntai|00|00|00|00
8|Maanantai|00|00|00|00
8|Tiistai|00|00|00|00
8|Keskiviikko|00|00|00|00
8|Torstai|00|00|00|00
8|Perjantai|00|00|00|00
8|Lauantai|00|00|00|00
8|Sunnuntai|00|00|00|00
5|Maanantai|00|00|00|00
5|Tiistai|00|00|00|00
5|Keskiviikko|00|00|00|00
5|Torstai|18|45|20|00
5|Perjantai|00|00|00|00
5|Lauantai|00|00|00|00
5|Sunnuntai|00|00|00|00
6|Maanantai|00|00|00|00
6|Tiistai|00|00|00|00
6|Keskiviikko|00|00|00|00
6|Torstai|00|00|00|00
6|Perjantai|00|00|00|00
6|Lauantai|15|00|17|00
6|Sunnuntai|12|00|20|00
7|Maanantai|23|00|24|59
7|Tiistai|00|00|00|00
7|Keskiviikko|00|00|00|00
7|Torstai|00|00|00|00
7|Perjantai|00|00|00|00
7|Lauantai|00|00|00|00
7|Sunnuntai|00|00|00|00
2|Maanantai|10|30|13|00
2|Tiistai|06|00|08|00
2|Keskiviikko|00|00|00|00
2|Torstai|00|00|00|00
2|Perjantai|00|00|00|00
2|Lauantai|00|00|00|00
2|Sunnuntai|00|00|00|00
9|Maanantai|00|00|00|00
9|Tiistai|00|00|00|00
9|Keskiviikko|22|00|24|00
9|Torstai|00|00|00|00
9|Perjantai|00|00|00|00
9|Lauantai|00|00|00|00
9|Sunnuntai|04|00|12|00
